Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",126.000000,-105.750000,90.000000,top
"C2","100nF","C_0402_1005Metric",167.300000,-127.200000,90.000000,top
"C3","100nF","C_0402_1005Metric",166.500000,-134.600000,0.000000,top
"C4","100uF","VZH101M1KTR-1313",152.500000,-135.000000,90.000000,top
"C5","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",180.400000,-143.200000,0.000000,top
"C6","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",176.300000,-143.200000,180.000000,top
"C7","100nF","C_0402_1005Metric",168.200000,-125.700000,0.000000,top
"C8","100nF","C_0402_1005Metric",173.500000,-123.120000,-90.000000,top
"C9","100nF","C_0402_1005Metric",181.200000,-116.400000,0.000000,top
"C10","100nF","C_0402_1005Metric",169.300000,-138.500000,90.000000,top
"C11","100nF","C_0402_1005Metric",181.200000,-115.400000,0.000000,top
"C12","100nF","C_0402_1005Metric",181.200000,-114.400000,0.000000,top
"C13","100nF","C_0402_1005Metric",181.200000,-113.400000,0.000000,top
"C14","10uF","C_0603_1608Metric",197.000000,-131.725000,90.000000,top
"C15","10uF","C_0603_1608Metric",197.000000,-128.000000,-90.000000,top
"C16","4.7uF","C_1206_3216Metric",198.500000,-142.975000,90.000000,top
"C17","4.7uF","C_1206_3216Metric",196.000000,-142.975000,90.000000,top
"C18","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",145.337500,-100.200000,-90.000000,top
"C19","4.7uF","C_1206_3216Metric",193.500000,-142.975000,90.000000,top
"C20","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",137.600000,-100.200000,-90.000000,top
"C21","1uF","C_0805_2012Metric",148.400000,-108.800000,-90.000000,top
"C22","100nF","C_0402_1005Metric",138.450000,-107.450000,90.000000,top
"C23","220nF","C_0805_2012Metric",200.750000,-143.000000,90.000000,top
"C24","100nF","C_0402_1005Metric",210.000000,-142.730000,90.000000,top
"C25","22uF","C_1206_3216Metric",198.500000,-137.500000,-90.000000,top
"C26","22uF","C_1206_3216Metric",196.000000,-137.500000,-90.000000,top
"C27","22uF","C_1206_3216Metric",193.500000,-137.500000,-90.000000,top
"C28","1uF","C_0805_2012Metric",212.325000,-144.050000,0.000000,top
"C29","22uF","C_1206_3216Metric",191.000000,-137.500000,-90.000000,top
"C30","4.7uF","C_1206_3216Metric",140.600000,-106.500000,90.000000,top
"C31","100nF","C_0402_1005Metric",149.000000,-105.600000,90.000000,top
"C32","22uF","C_1206_3216Metric",147.200000,-104.600000,90.000000,top
"C33","100nF","C_0402_1005Metric",126.420000,-112.400000,0.000000,top
"C34","22n 50V","C_0402_1005Metric",219.800000,-130.800000,90.000000,top
"C35","4.7uF","C_1206_3216Metric",218.000000,-132.000000,90.000000,top
"C36","100n","C_0402_1005Metric",220.000000,-132.700000,90.000000,top
"C37","100n","C_0402_1005Metric",226.500000,-127.150000,0.000000,top
"C38","100n","C_0402_1005Metric",227.950000,-133.000000,-90.000000,top
"C39","100n","C_0402_1005Metric",221.950000,-127.150000,180.000000,top
"C40","22n 50V","C_0402_1005Metric",239.500000,-131.100000,90.000000,top
"C41","100n","C_0402_1005Metric",239.500000,-133.000000,90.000000,top
"C42","100n","C_0402_1005Metric",246.300000,-127.350000,0.000000,top
"C43","100n","C_0402_1005Metric",247.700000,-133.100000,-90.000000,top
"C44","100n","C_0402_1005Metric",241.700000,-127.350000,180.000000,top
"C45","100uF","VZH101M1KTR-1313",242.200000,-141.900000,180.000000,top
"C46","100uF","VZH101M1KTR-1313",227.400000,-141.900000,0.000000,top
"C47","4.7uF","C_1206_3216Metric",237.800000,-132.500000,90.000000,top
"C48","100nF","C_0402_1005Metric",211.500000,-116.750000,180.000000,top
"C49","100nF","C_0402_1005Metric",206.000000,-116.750000,180.000000,top
"C50","100nF","C_0402_1005Metric",201.250000,-116.700000,0.000000,top
"C51","100nF","C_0402_1005Metric",193.450000,-116.800000,180.000000,top
"C52","100nF","C_0402_1005Metric",187.950000,-116.750000,180.000000,top
"C53","100nF","C_0402_1005Metric",183.200000,-116.200000,90.000000,top
"C54","100nF","C_0402_1005Metric",174.400000,-112.300000,0.000000,top
"C55","100nF","C_0402_1005Metric",175.700000,-105.600000,0.000000,top
"C56","100nF","C_0402_1005Metric",172.700000,-118.900000,0.000000,top
"C57","100n","C_0402_1005Metric",229.525000,-130.925000,90.000000,top
"C58","100n","C_0402_1005Metric",250.400000,-131.000000,90.000000,top
"D1","red","LED_0603_1608Metric",198.750000,-128.500000,-90.000000,top
"D2","yellow","LED_0805_2012Metric",187.750000,-131.437500,90.000000,top
"D3","LESD5D5.0CT1G","TVS_LESD5D5.0CT1G",124.750000,-110.400000,-90.000000,top
"D4","LESD5D5.0CT1G","TVS_LESD5D5.0CT1G",124.750000,-107.937500,90.000000,top
"D5","LESD5D5.0CT1G","TVS_LESD5D5.0CT1G",124.750000,-105.500000,90.000000,top
"D6","SS34","D_SMA",128.400000,-103.200000,-90.000000,top
"D7","white","LED_0603_1608Metric",231.950000,-133.450000,90.000000,top
"D8","white","LED_0603_1608Metric",250.700000,-133.400000,90.000000,top
"D9","    SMF6.0CA","D_SOD-123F",144.200000,-136.325000,90.000000,top
"D10","    SMF6.0CA","D_SOD-123F",144.200000,-140.825000,-90.000000,top
"D11","SMF30CA","D_SOD-123F",143.250000,-146.250000,-90.000000,top
"D12","LESD5D5.0CT1G","TVS_LESD5D5.0CT1G",256.900000,-136.500000,90.000000,top
"D13","LESD5D5.0CT1G","TVS_LESD5D5.0CT1G",256.900000,-105.000000,90.000000,top
"D14","LESD5D5.0CT1G","TVS_LESD5D5.0CT1G",263.700000,-124.400000,90.000000,top
"D15","LESD5D5.0CT1G","TVS_LESD5D5.0CT1G",263.700000,-121.637500,90.000000,top
"F1","01550900M","FUSE_01550900M",150.500000,-145.900000,0.000000,top
"J1","Molex_70553-0002","Molex_70553-0002",148.080000,-120.460000,90.000000,top
"J2","Molex_43045-0600","Molex_43045-0600",262.680000,-105.000000,90.000000,top
"J3","Molex_43045-0600","Molex_43045-0600",262.680000,-135.000000,90.000000,top
"J4","S2B-PH-K-S_LF__SN","S2B-PH-K-S_LF__SN_",266.050000,-127.500000,-90.000000,top
"J5","S2B-PH-K-S_LF__SN","S2B-PH-K-S_LF__SN_",266.050000,-120.500000,-90.000000,top
"J6","RJ45 (6339160-1)","TE_6339160-1",140.977500,-138.500000,-90.000000,top
"J7","1050170001","MOLEX_1050170001",120.650000,-109.500000,-90.000000,top
"J8","S4B-XH-SM4-TB(LF)(SN)","S4BXHSM4TBLFSN",244.000000,-113.000000,180.000000,top
"J9","S4B-XH-SM4-TB(LF)(SN)","S4BXHSM4TBLFSN",226.000000,-113.000000,180.000000,top
"J10","JST / SM10B-GHS-TB","SM10B-GHS-TB_LF__SN_",208.480000,-113.650000,180.000000,top
"J11","JST / SM10B-GHS-TB","SM10B-GHS-TB_LF__SN_",191.875000,-113.650000,180.000000,top
"J12","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",171.000000,-104.080000,180.000000,top
"J13","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",161.760000,-145.300000,90.000000,top
"JP2","Jumper_2_Open","PinHeader_1x02_P2.54mm_Vertical",129.700000,-114.600000,180.000000,top
"L1","15uH","SMDRI127-150MT",212.650000,-128.387500,-90.000000,top
"Q1","AO3400A","SOT-23",254.450000,-135.487500,-90.000000,top
"Q2","AO3401A","SOT-23",253.500000,-139.462500,-90.000000,top
"Q3","AO3400A","SOT-23",258.400000,-117.700000,0.000000,top
"Q4","AO3401A","SOT-23",262.400000,-117.500000,0.000000,top
"Q5","AO3400A","SOT-23",254.700000,-112.262500,90.000000,top
"Q6","AO3401A","SOT-23",255.700000,-108.300000,90.000000,top
"Q7","AO3400A","SOT-23",258.272500,-127.300000,0.000000,top
"Q8","AO3401A","SOT-23",262.172500,-128.300000,0.000000,top
"Q9","SS8050-G","TRANS_SS8050-G",143.150000,-113.962500,0.000000,top
"Q10","SS8050-G","TRANS_SS8050-G",139.650000,-115.612500,0.000000,top
"Q11","2N7002T-7-F","SOT-523",126.600000,-110.395000,90.000000,top
"Q12","2N7002T-7-F","SOT-523",126.600000,-107.955000,-90.000000,top
"R1","100k","R_0402_1005Metric",160.700000,-132.600000,90.000000,top
"R2","1k","R_0402_1005Metric",172.010000,-123.620000,180.000000,top
"R3","10k","R_0402_1005Metric",169.800000,-108.300000,90.000000,top
"R4","100k","R_0402_1005Metric",174.500000,-123.110000,90.000000,top
"R5","1k","R_0402_1005Metric",160.650000,-141.050000,90.000000,top
"R6","120","C_0603_1608Metric",160.325000,-138.500000,-90.000000,top
"R7","10k","R_0402_1005Metric",256.400000,-139.200000,0.000000,top
"R8","100k","R_0402_1005Metric",256.400000,-138.200000,0.000000,top
"R9","100","C_0603_1608Metric",254.675000,-131.650000,0.000000,top
"R10","100","C_0603_1608Metric",254.562500,-118.500000,90.000000,top
"R11","10k","R_0402_1005Metric",255.862500,-118.200000,-90.000000,top
"R12","10k","R_0402_1005Metric",260.400000,-120.000000,180.000000,top
"R13","10k","R_0402_1005Metric",254.890000,-132.950000,180.000000,top
"R14","10k","R_0402_1005Metric",252.200000,-136.540000,90.000000,top
"R15","10k","R_0402_1005Metric",178.500000,-122.900000,90.000000,top
"R16","15k","R_0402_1005Metric",178.500000,-120.890000,90.000000,top
"R17","10k","R_0402_1005Metric",176.500000,-122.900000,90.000000,top
"R18","15k","R_0402_1005Metric",176.500000,-120.890000,90.000000,top
"R19","10k","R_0402_1005Metric",180.400000,-123.400000,90.000000,top
"R20","15k","R_0402_1005Metric",180.400000,-121.400000,90.000000,top
"R21","10k","R_0402_1005Metric",254.400000,-105.290000,-90.000000,top
"R22","100k","R_0402_1005Metric",255.600000,-105.290000,-90.000000,top
"R23","10k","R_0402_1005Metric",261.400000,-124.640000,-90.000000,top
"R24","100k","R_0402_1005Metric",262.500000,-124.640000,-90.000000,top
"R25","10k","R_0402_1005Metric",261.400000,-121.877500,-90.000000,top
"R26","100k","R_0402_1005Metric",262.500000,-121.877500,-90.000000,top
"R27","4.7k","C_0603_1608Metric",198.750000,-131.750000,90.000000,top
"R28","4.7k","C_0603_1608Metric",188.000000,-128.000000,-90.000000,top
"R29","100","C_0603_1608Metric",254.600000,-116.062500,180.000000,top
"R30","10k","R_0402_1005Metric",254.300000,-114.762500,0.000000,top
"R31","10k","R_0402_1005Metric",257.000000,-111.262500,-90.000000,top
"R32","100","C_0603_1608Metric",254.510000,-127.175000,90.000000,top
"R33","10k","R_0402_1005Metric",255.810000,-126.900000,-90.000000,top
"R34","10k","R_0402_1005Metric",259.210000,-129.600000,180.000000,top
"R35","10k","R_0402_1005Metric",146.400000,-107.600000,0.000000,top
"R36","0Ω","C_0603_1608Metric",134.250000,-115.225000,90.000000,top
"R37","100k","R_0402_1005Metric",212.050000,-146.050000,180.000000,top
"R38","24.9k","C_0603_1608Metric",210.250000,-146.850000,-90.000000,top
"R39","100k","R_0402_1005Metric",201.300000,-146.550000,90.000000,top
"R40","0Ω","C_0603_1608Metric",135.800000,-115.225000,90.000000,top
"R41","10k","R_0402_1005Metric",137.400000,-114.600000,-90.000000,top
"R42","10k","R_0402_1005Metric",138.950000,-111.900000,0.000000,top
"R43","10k","R_0402_1005Metric",134.800000,-105.150000,90.000000,top
"R44","22.1k","C_0603_1608Metric",137.100000,-104.600000,-90.000000,top
"R45","47.5k","C_0603_1608Metric",138.600000,-104.600000,-90.000000,top
"R46","1k","R_0402_1005Metric",135.800000,-105.150000,-90.000000,top
"R47","10k","R_0402_1005Metric",126.420000,-113.500000,180.000000,top
"R48","22","C_0603_1608Metric",142.900000,-116.600000,180.000000,top
"R49","1k","R_0402_1005Metric",126.420000,-115.000000,0.000000,top
"R50","100k","R_0402_1005Metric",219.100000,-129.100000,180.000000,top
"R51","1k","R_0402_1005Metric",169.700000,-118.550000,90.000000,top
"R52","4.7k","C_0603_1608Metric",230.350000,-133.450000,90.000000,top
"R53","330mΩ","R_1210_3225Metric",227.400000,-124.950000,180.000000,top
"R54","100k","R_0402_1005Metric",238.800000,-129.500000,180.000000,top
"R55","10k","R_0402_1005Metric",180.000000,-117.400000,180.000000,top
"R56","330mΩ","R_1210_3225Metric",247.200000,-124.900000,180.000000,top
"R57","330mΩ","R_1210_3225Metric",240.900000,-124.900000,0.000000,top
"R58","330mΩ","R_1210_3225Metric",221.400000,-124.950000,0.000000,top
"R59","4.7k","C_0603_1608Metric",249.100000,-133.400000,90.000000,top
"R60","10k","R_0402_1005Metric",169.800000,-110.400000,-90.000000,top
"R62","10k","R_0402_1005Metric",172.040000,-109.000000,0.000000,top
"R64","330","C_0603_1608Metric",148.100000,-116.300000,-90.000000,top
"R65","10k","R_0402_1005Metric",180.500000,-105.750000,0.000000,top
"R68","10k","R_0402_1005Metric",173.400000,-102.900000,90.000000,top
"R70","10k","R_0402_1005Metric",171.900000,-112.300000,180.000000,top
"S1","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",141.937500,-100.200000,0.000000,top
"S2","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",134.200000,-100.200000,0.000000,top
"U2","TXB0104PW","TSSOP-14_4.4x5mm_P0.65mm",164.000000,-130.250000,-90.000000,top
"U3","MCP2515-xSO","SOIC-18W_7.5x11.6mm_P1.27mm",175.290000,-130.450000,90.000000,top
"U4","MCP2551-I-SN","SOIC-8_3.9x4.9mm_P1.27mm",165.000000,-138.500000,180.000000,top
"U5","PCA9554PW,118","PCA9554PW_118",178.100000,-102.400000,180.000000,top
"U6","PCA9554PW,118","PCA9554PW_118",174.923900,-115.700000,180.000000,top
"U9","ESP32-WROOM-32E_8N","XCVR_ESP32-WROOM-32E_(16MB)",159.350000,-110.140000,0.000000,top
"U10","AMS1117-3.3","SOT-223-3_TabPin2",192.500000,-130.000000,90.000000,top
"U11","LMR33630ADDAR","LMR33630ADDAR",205.600000,-144.137500,0.000000,top
"U12","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",134.800000,-109.450000,180.000000,top
"U13","TMC2209-LA","TMC2209-LA",224.300000,-130.800000,0.000000,top
"U14","TMC2209-LA","TMC2209-LA",244.000000,-131.000000,0.000000,top
"U15","SN75176BDR","SN75176BDR",214.000000,-121.000000,90.000000,top
"U16","SN75176BDR","SN75176BDR",208.500000,-121.000000,90.000000,top
"U17","SN75176BDR","SN75176BDR",203.000000,-121.000000,90.000000,top
"U18","SN75176BDR","SN75176BDR",195.845000,-121.000000,90.000000,top
"U19","SN75176BDR","SN75176BDR",190.250000,-121.000000,90.000000,top
"U20","SN75176BDR","SN75176BDR",184.650000,-121.000000,90.000000,top
"U21","PCA9554PW,118","PCA9554PW_118",176.900000,-109.100000,180.000000,top
"Y1","8 Mhz","Crystal_SMD_HC49-SD",178.500000,-139.500000,180.000000,top
