Comment,Designator,Footprint,LCSC Part Number
LMR33630ADDAR,U11,LMR33630ADDAR,C841384
4.7k,"R59,R27,R52,R28",603,C23162
AO3401A,"Q6,Q2,Q8,Q4",SOT-23,C15127
SMF30CA,D11,D_SOD-123F,C2990493
100k,"R37,R24,R54,R50,R22,R1,R4,R8,R39,R26",402,C25741
100nF,"C52,C53,C8,C12,C3,C10,C2,C50,C11,C51,C49,C56,C54,C1,C55,C13,C9,C31,C22,C7,C48,C24,C33,C20",402,C307331
15k,"R16,R18,R20",402,C25756
1k,"R46,R5,R49,R2,R51",402,C11702
10uF,"C15,C14",603,C96446
330mΩ,"R53,R56,R58,R57",R_1210_3225Metric,C2960935
RJ45 (6339160-1),J6,TE_6339160-1,C125076
100n,"C44,C58,C57,C43,C42,C41,C39,C37,C38,C36",402,C307331
22.1k,R44,603,C217886
10k,"R30,R41,R21,R35,R19,R12,R47,R34,R13,R3,R70,R68,R62,R25,R14,R15,R17,R31,R65,R7,R11,R55,R23,R33,R43,R42,R60",402,C25744
S4B-XH-SM4-TB(LF)(SN),"J8,J9",S4BXHSM4TBLFSN,C161861
22pF,"C5,C6",805,C1804
4.7uF,"C47,C35,C17,C19,C16,C30",C_1206_3216Metric,C29823
01550900M,F1,FUSE_01550900M,C206911
22,R48,603,C23345
1uF,"C21,C28",805,C28323
2N7002T-7-F,"Q12,Q11",SOT-523,C139445
SN75176BDR,"U19,U15,U18,U16,U17,U20",SN75176BDR,C7063
white,"D8,D7",LED_0603_1608Metric,C2290
MCP2515-xSO,U3,SOIC-18W_7.5x11.6mm_P1.27mm,C12368
330,R64,603,C23138
22uF,"C32,C29,C26,C27,C25",1206,C12891
AO3400A,"Q1,Q3,Q5,Q7",SOT-23,C20917
SS8050-G,"Q10,Q9",TRANS_SS8050-G,C164886
100uF,"C46,C45,C4",VZH101M1KTR-1313,C249839
yellow,D2,LED_0805_2012Metric,C2296
SMF6.0CA,"D10,D9",D_SOD-123F,C2990473
220nF,C23,805,C5378
ESP32-WROOM-32E_8N,U9,XCVR_ESP32-WROOM-32E_(16MB),C701342
LESD5D5.0CT1G,"D4,D5,D13,D14,D3,D15,D12",TVS_LESD5D5.0CT1G,C383211
TS-1187A-B-A-B,"S2,S1",SW_TS-1187A-B-A-B,C318884
TMC2209-LA,"U13,U14",TMC2209-LA,C465949
0Ω,"R36,R40",603,C21189
8 Mhz,Y1,Crystal_SMD_HC49-SD,C12674
red,D1,LED_0603_1608Metric,C2286
100,"R9,R10,R29,R32",603,C22775
"PCA9554PW,118","U5,U6,U21",PCA9554PW_118,C17230
AMS1117-3.3,U10,SOT-223-3_TabPin2,C6186
JST / SM10B-GHS-TB,"J11,J10",SM10B-GHS-TB_LF__SN_,C2683602
24.9k,R38,603,C706063
15uH,L1,SMDRI127-150MT,C40000
TXB0104PW,U2,TSSOP-14_4.4x5mm_P0.65mm,C60708
47.5k,R45,603,C136962
SS34,D6,D_SMA,C8678
CP2102N-Axx-xQFN28,U12,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C964632
MCP2551-I-SN,U4,SOIC-8_3.9x4.9mm_P1.27mm,C7376
1050170001,J7,MOLEX_1050170001,C136000
22n 50V,"C34,C40",402,C1532
